Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing
HyImpulse,5,500,7.78,15560,9.70,Small,LEO,Rocket,Germany,Kochen,"Developing an orbital small launcher, powered by a unique, green hybrid propulsion technology",Private (reported),9.7,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Space Ops,2,10,0.0,0,,Small,LEO,Rocket,Australia,"Redfern, New South Wales",Developing a reusable two-stage orbital-class launch vehicle,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Vellon Space,2,50,0.0,0,,Small,LEO,"Plane, Rocket",India,"Madurai, Tamil Nadu",Developing a series of Launch Vehicles based on high-altitude air launch,Unknown,13.844999999999999,India,0,0,1,0,1,0,0,0,0,1,1,0,1
Bellatrix Aerospace,4,150,2.0,13333,11.00,Small,LEO,Rocket,India,"Bangalore, Karnataka",Orbital launch vehicles (rockets) and electric propulsion systems,Private (reported),11.0,India,0,0,1,0,1,0,0,0,0,0,1,0,0
The Rocket & Satellite Company,0,0,0.0,0,,,LEO,Rocket,Pakistan,Karachi,Offering low-cost space launch systems,Unknown,13.844999999999999,Other,0,0,0,0,1,0,0,0,0,0,1,0,1
ESC Aerospace,2,0,0.0,50,,,LEO,Other,United States,"Orlando, FL",Enabling transportation to LEO,Unknown,13.844999999999999,United States,0,0,0,0,1,0,0,0,1,0,0,0,1
Fore Dynamics,2,200,0.0,0,,Small,LEO,Rocket,United States,"Placentia, CA","Affordable and reliable small satellite launch system for LEO, SSO, and GEO missions",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Reaction Dynamics,3,150,0.0,30000,1.15,Small,LEO,Rocket,Canada,"St. Laurent, Quebec",Making it affordable for companies and universities to launch small satellites into orbit,Private (reported),1.15,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Reaction Engines,5,17000,0.0,860,95.37,Medium,LEO,Spaceplane,United Kingdom,"Abingdon, England",Developing the re-usable Skylon spaceplane powered by SABRE propulsion,Private (reported),95.37,United Kingdom,0,1,0,0,1,0,0,0,0,0,0,1,0
Galactic Energy,9,5000,0.0,14400,243.00,"Small, Medium",LEO,Rocket,China,,Developing the Ceres-1 and Pallas-1 launch vehicles,Private (reported),243.0,China,0,1,1,0,1,0,0,0,0,0,1,0,0
Spaceborne,1,0,0.0,0,,,LEO,Rocket,Uzbekistan,Tashkent,"Building low cost, single stage and highly reusable launch vehicles",Unknown,13.844999999999999,Other,0,0,0,0,1,0,0,0,0,0,1,0,1
Blue Origin,9,0,0.0,0,,"Tourism, Small, Heavy",Suborbital,Rocket,United States,"Kent, WA",Lowering the cost of access to space with reusable launch vehicles,Unknown,13.844999999999999,United States,1,0,1,1,0,0,1,0,0,0,1,0,1
Trans Space Travels,1,0,0.0,0,,,Suborbital,Spaceplane,Germany,Bayreuth,"Developing SOL ASPIRET, a suborbital spaceplane",Unknown,13.844999999999999,Other,0,0,0,0,0,0,1,0,0,0,0,1,1
Orbex,5,220,0.0,0,39.53,Small,LEO,Rocket,United Kingdom,"London, England","Launch services for small, micro and nano satellites",Private (reported),39.53,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0
Stofiel Aerospace,4,250,5.0,20000,,Small,LEO,"Balloon, Rocket",United States,"St. Louis, MO",Balloon-based small satellite launcher,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,1,0,0,1,0,1
PLD Space,6,300,0.0,0,27.14,Small,LEO,Rocket,Spain,Elche,"A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites",Private (reported),27.14,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Raptor Aerospace,9,16,0.0,0,,Small,Suborbital,Rocket,United Kingdom,"Badersfield, England",Developing suborbital rockets to proide access and research for traditional and ‘New-Space’ markets,Unknown,13.844999999999999,United Kingdom,0,0,1,0,0,0,1,0,0,0,1,0,1
Space One (by Canon),3,240,0.0,0,Joint Venture,Small,LEO,Rocket,Japan,"Tokyo, Tokyo","Joint venture between Canon Electronics, IHI Aerospace, Shimizu, and Development Bank of Japan",Joint Venture,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Beyond Earth,3,30,0.9,30000,,Small,LEO,Rocket,United States,"Menlo Park, CA",Providing rapid response small satellite launch vehicles for government and commercial customers,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
VSAT Aerospace,4,100,3.0,30000,,Small,LEO,Rocket,Brazil,"Santo André, São Paulo",Delivering payloads to low Earth orbit,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Rocketplane Global,1,3000,0.0,0,,Medium,LEO,Spaceplane,United States,"Green Bay, WI",Spaceplane based satellite launch,Unknown,13.844999999999999,United States,0,1,0,0,1,0,0,0,0,0,0,1,1
SpaceTrek,1,240,0.0,0,,Small,LEO,Rocket,China,Beijing,Customized launch services for sub-orbital and orbital payloads,Unknown,13.844999999999999,China,0,0,1,0,1,0,0,0,0,0,1,0,1
ARCA Space Corporation,3,100,1.0,10000,,Small,LEO,Rocket,United States,"Las Cruces, NM",Single Stage to Orbit (SSTO) rocket leveraging aerospike engine technology launching to low earth orbit,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
