const,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num,Country_Grouped_France,Country_Grouped_India,Country_Grouped_Other,Country_Grouped_United Kingdom,Country_Grouped_United States,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,TT_Balloon,TT_Other,TT_Plane,TT_Spaceplane,Funding_Missing,SFR
1.0,6.2166061010848646,2.3978952727983707,9.90353755128617,0.09531017980432487,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,5.303304908059076,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,9.90353755128617,5.14166355650266,9.04793908261736,2.697663108215723,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
1.0,7.0909098220799835,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,5.707110264748875,1.7119945007591926,9.624699147254466,2.0918640616783932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,4.394449154672439,0.5653138090500605,9.15915233520675,0.09531017980432487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,6.075346031088684,0.9162907318741551,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
1.0,6.90875477931522,3.044522437723423,9.90353755128617,3.380994674344636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0,5.707110264748875,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,4.61512051684126,0.0,0.0,2.3115448343655176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1.0,0.0,0.0,0.0,2.696652156149841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
1.0,3.258096538021482,0.9932517730102834,11.127277689932466,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
